representation,target,task,metric,seed,trained,random_label,descriptor,descriptor_noleak,baseline_leaky,gap_vs_descriptor,gap_vs_descriptor_noleak,chance,prevalence,rdkit_version
reconstruction,molecular_weight,regression,R2,2,0.9803326235347045,-0.008052690119138228,0.9791373956611433,0.9791373956611433,False,0.0011952278735611888,0.0011952278735611888,0.0,,2023.09.5
raw,halogen,classification,AUROC,2,0.999845794032229,0.5219922839289586,1.0,0.9999466509656955,True,-0.00015420596777104834,-0.00010085693346650881,0.5,0.49931365820178447,2023.09.5
latent,halogen,classification,AUROC,2,0.9996830210662485,0.49642982882495534,1.0,0.9999466509656955,True,-0.00031697893375148833,-0.0002636298994469488,0.5,0.49931365820178447,2023.09.5
reconstruction,halogen,classification,AUROC,2,0.9994579426587445,0.49961452323657046,1.0,0.9999466509656955,True,-0.000542057341255453,-0.0004887083069509135,0.5,0.49931365820178447,2023.09.5
raw,aromaticity,classification,AUROC,2,0.9996643090749555,0.5049127481782951,1.0,1.0,True,-0.00033569092504448506,-0.00033569092504448506,0.5,0.9061271604167966,2023.09.5
latent,aromaticity,classification,AUROC,2,1.0,0.49008584790825804,1.0,1.0,True,0.0,0.0,0.5,0.9061271604167966,2023.09.5
reconstruction,aromaticity,classification,AUROC,2,0.9998748083348843,0.5199499389499389,1.0,1.0,True,-0.00012519166511570923,-0.00012519166511570923,0.5,0.9061271604167966,2023.09.5
raw,urea,classification,AUROC,2,0.9486103899652939,0.5304640701116472,0.9965977099445249,0.9965977099445249,False,-0.047987319979231,-0.047987319979231,0.5,0.009546390466088475,2023.09.5
latent,urea,classification,AUROC,2,0.9238925477550352,0.6051854719674788,0.9965977099445249,0.9965977099445249,False,-0.07270516218948975,-0.07270516218948975,0.5,0.009546390466088475,2023.09.5
reconstruction,urea,classification,AUROC,2,0.9250949635176127,0.6295556920556921,0.9965977099445249,0.9965977099445249,False,-0.07150274642691223,-0.07150274642691223,0.5,0.009546390466088475,2023.09.5
raw,boron,classification,AUROC,2,0.9999374999999999,0.639271311361424,1.0,1.0,True,-6.250000000007638e-05,-6.250000000007638e-05,0.5,0.002870156610719411,2023.09.5
latent,boron,classification,AUROC,2,0.99975,0.4490682797941872,1.0,1.0,True,-0.00024999999999997247,-0.00024999999999997247,0.5,0.002870156610719411,2023.09.5
reconstruction,boron,classification,AUROC,2,0.9966875,0.40203698740284105,1.0,1.0,True,-0.0033125000000000515,-0.0033125000000000515,0.5,0.002870156610719411,2023.09.5
raw,drug_likeness,regression,R2,3,0.593971992353074,-0.0068295057292266925,0.6263550565779251,0.6263550565779251,False,-0.032383064224851155,-0.032383064224851155,0.0,,2023.09.5
latent,drug_likeness,regression,R2,3,0.6163037072995752,-0.08778710580343319,0.6263550565779251,0.6263550565779251,False,-0.010051349278349941,-0.010051349278349941,0.0,,2023.09.5
reconstruction,drug_likeness,regression,R2,3,0.5473903592317603,-0.009673594290772858,0.6263550565779251,0.6263550565779251,False,-0.07896469734616485,-0.07896469734616485,0.0,,2023.09.5
raw,complexity_ringproxy,regression,R2,3,0.9436444434402049,-0.0038793187504764237,0.9968064514196503,0.912718087514776,True,-0.05316200797944537,0.030926355925428917,0.0,,2023.09.5
latent,complexity_ringproxy,regression,R2,3,0.932520318477193,-0.055954305107876134,0.9968064514196503,0.912718087514776,True,-0.06428613294245733,0.019802230962416956,0.0,,2023.09.5
reconstruction,complexity_ringproxy,regression,R2,3,0.9260681359420345,-0.018189117149746137,0.9968064514196503,0.912718087514776,True,-0.07073831547761578,0.01335004842725851,0.0,,2023.09.5
raw,lipophilicity,regression,R2,3,0.8838393295228011,-0.010272048627456343,0.9588493557310857,0.9588493557310857,False,-0.07501002620828456,-0.07501002620828456,0.0,,2023.09.5
latent,lipophilicity,regression,R2,3,0.8192823328879237,-0.04956768734394901,0.9588493557310857,0.9588493557310857,False,-0.13956702284316191,-0.13956702284316191,0.0,,2023.09.5
reconstruction,lipophilicity,regression,R2,3,0.8198137129135009,-0.010273119491440719,0.9588493557310857,0.9588493557310857,False,-0.13903564281758474,-0.13903564281758474,0.0,,2023.09.5
raw,size,regression,R2,3,0.9973796959379063,-0.008526928262475142,0.9832482118511946,0.9832482118511946,False,0.01413148408671172,0.01413148408671172,0.0,,2023.09.5
