feature,n_properties,properties,semanticity,activation_frequency,top_enriched_substructures,n_enriched,w_drug_likeness,w_complexity_ringproxy,w_lipophilicity,w_size,w_polarity,w_flexibility,w_molecular_weight,w_halogen,w_aromaticity,w_urea,w_boron
561,2,lipophilicity|urea,polysemantic,0.23095401509951957,ester(+63pts)|ether(+57pts),2,0.06303569674491882,-0.001296707196161151,-0.5372406840324402,-0.01239940244704485,0.012190026231110096,-0.019485946744680405,-6.200982570648193,0.504570132450381,0.21260008609207676,1.4749751871987535,0.05333588669511887
580,2,drug_likeness|aromaticity,polysemantic,0.5148187433705622,benzene(-77pts)|amide(-63pts)|aromatic_N(-57pts),4,-0.0684129148721695,0.0012213014997541904,-0.06468069553375244,0.009250139817595482,-0.010253127664327621,0.014422530308365822,4.629937648773193,-0.6020859430766503,-2.136941017993686,-0.5812279079690862,-0.017688879520744112
419,2,halogen|urea,polysemantic,0.14260310725650466,halogen_Br(+83pts)|amine_tertiary(+50pts)|amide(-47pts),4,-0.023713689297437668,-0.0019625823479145765,0.20872628688812256,0.010339057072997093,-0.0038028941489756107,-0.007420246955007315,5.169548511505127,2.2993337847614974,0.20282967566301374,-0.9353237147114675,0.02807549607784785
146,2,polarity|aromaticity,polysemantic,0.47959693018032074,aromatic_N(+67pts)|benzene(-67pts)|amide(-57pts),5,-0.053890444338321686,-0.004619106650352478,0.239981010556221,-0.004017436411231756,0.033187560737133026,-0.05078291893005371,-2.024125099182129,0.38068389716788087,0.8826443886090573,-0.547475032846015,-0.09893344166795108
90,2,complexity_ringproxy|lipophilicity,polysemantic,0.46440381855618645,aromatic_N(+47pts)|ester(+40pts),2,0.04574396833777428,0.01661691442131996,-0.4683557450771332,-0.0062103476375341415,-0.009682727046310902,-0.06638740003108978,-3.1082215309143066,0.3353405097080505,0.5560473066137728,-0.21740910830524623,-0.033209932557004176
968,2,complexity_ringproxy|flexibility,polysemantic,0.24343295688525612,benzene(-77pts)|amide(-70pts)|aromatic_N(-43pts),5,0.06028199940919876,-0.03142153471708298,-0.3972525894641876,-0.003612285479903221,-0.016327252611517906,-0.09764490276575089,-1.800220251083374,0.44069015906097453,-0.7048971708266253,-0.4387553262275324,0.008083661226197657
206,2,size|molecular_weight,polysemantic,0.18337804954139889,aromatic_N(-53pts)|amide(-47pts),2,-0.0073659224435687065,-0.008718046359717846,-0.14014513790607452,0.0256899856030941,-0.0019491726998239756,-0.07882679998874664,12.857095718383789,-0.022982024324391337,-0.6376605721176232,-0.08763899548609475,0.08545162360959459
920,2,complexity_ringproxy|urea,polysemantic,0.16996318712173208,benzene(-57pts)|amide(-53pts)|pyridine(-37pts),3,5.031039563618833e-06,-0.02362224832177162,-0.03120003268122673,-0.004038996063172817,0.01098326314240694,-0.013877811841666698,-2.021012544631958,0.08666890087955559,-0.6259333283381905,1.195998204319564,0.02128075386660396
226,2,size|molecular_weight,polysemantic,0.27759406002371,benzene(-77pts)|amide(-63pts)|aromatic_N(-53pts),5,0.028862586244940758,-0.0025316618848592043,-0.22052495181560516,-0.02215387113392353,0.0007687920005992055,-0.04372670501470566,-11.076251983642578,-0.3727060992839735,0.3766624388130356,-0.15176160769274813,-0.0011422725953683093
247,2,drug_likeness|polarity,polysemantic,0.21226679977537904,benzene(-77pts)|halogen_Cl(+50pts)|amide(-50pts),3,0.08397187292575836,0.006638319697231054,0.2198217809200287,0.007345183752477169,-0.03797541931271553,-0.0072382776997983456,3.667193651199341,0.519974550437486,-0.24635871706358708,0.6677514015731436,-0.015527899723265801
113,2,aromaticity|urea,polysemantic,0.18016472203157172,benzene(-63pts)|amine_secondary(+53pts),2,-0.009215200319886208,0.0012296627974137664,-0.06088108941912651,-0.004689335823059082,-0.004799257963895798,0.008255057036876678,-2.3427181243896484,-0.3765476224246466,-1.1505202175177076,0.9885763235573195,-0.028716864735772042
311,2,size|molecular_weight,polysemantic,0.018000873525925002,aromatic_N(-63pts)|benzene(-57pts)|amide(-40pts),4,0.010934656485915184,0.006453569978475571,0.409005343914032,0.02001182734966278,-0.024984819814562798,-0.022033339366316795,10.001221656799316,0.1280459913498178,0.09347546426897399,-0.0012532687053599333,0.0013950076546977996
346,2,halogen|aromaticity,polysemantic,0.7715105759031634,halogen_Br(+100pts)|aromatic_N(+53pts)|pyridine(+50pts),4,0.02632228657603264,0.00918634794652462,0.029187604784965515,0.015080313198268414,-0.031180333346128464,-0.005815485958009958,7.538934230804443,2.6754856594082925,1.371541137962002,-0.7396708702298215,0.031752200177680476
363,2,aromaticity|urea,polysemantic,0.32975603668808884,halogen_Cl(+53pts)|benzene(+47pts)|aromatic_O(+43pts),3,-0.0003721133107319474,0.0025760596618056297,-0.04659903794527054,-0.0044120741076767445,-0.015364004299044609,0.030324662104249,-2.2059521675109863,0.07818349652497844,0.975879024980834,1.2031412211343693,-0.051678387753647026
