feature,intervention,scale,property,metric,baseline,ablated,delta,frac_molecules_affected
632,ablate,0.0,size,R2,0.9805196350182971,0.9800452400905176,-0.00047439492777945347,0.40069882074000124
632,ablate,0.0,polarity,R2,0.9674208407166979,0.9672036328968358,-0.00021720781986211968,0.40069882074000124
632,ablate,0.0,flexibility,R2,0.566849969287009,0.5525546174873461,-0.014295351799662903,0.40069882074000124
632,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.9800334471695625,-0.0004785042997249578,0.40069882074000124
632,ablate,0.0,halogen,AUROC,0.9997442559566605,0.9992339360955312,-0.0005103198611292603,0.40069882074000124
632,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9999854999283525,-1.023534469235532e-05,0.40069882074000124
632,ablate,0.0,urea,AUROC,0.8499297615658112,0.8498897597774959,-4.000178831531365e-05,0.40069882074000124
632,ablate,0.0,boron,AUROC,1.0,1.0,0.0,0.40069882074000124
188,ablate,0.0,drug_likeness,R2,0.5291568727581608,-0.40256662721361836,-0.9317234999717792,0.46434142384725774
188,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.9042094780131944,-0.03577639392098497,0.46434142384725774
188,ablate,0.0,lipophilicity,R2,0.8243855740422517,0.47754691543540895,-0.3468386586068427,0.46434142384725774
188,ablate,0.0,size,R2,0.9805196350182971,0.9752200975325884,-0.005299537485708661,0.46434142384725774
188,ablate,0.0,polarity,R2,0.9674208407166979,0.7518085038765576,-0.21561233684014025,0.46434142384725774
188,ablate,0.0,flexibility,R2,0.566849969287009,0.03880078468972081,-0.5280491845972882,0.46434142384725774
188,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.9749487401848741,-0.005563211284413394,0.46434142384725774
188,ablate,0.0,halogen,AUROC,0.9997442559566605,0.9988005244164494,-0.0009437315402111013,0.46434142384725774
188,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9999954509579145,-2.8431513032778355e-07,0.46434142384725774
188,ablate,0.0,urea,AUROC,0.8499297615658112,0.8469884536014551,-0.002941307964356099,0.46434142384725774
188,ablate,0.0,boron,AUROC,1.0,0.9995801787442363,-0.0004198212557636749,0.46434142384725774
211,ablate,0.0,drug_likeness,R2,0.5291568727581608,0.14200143385549135,-0.38715543890266946,0.429182005365945
211,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.9064638431903546,-0.03352202874382482,0.429182005365945
211,ablate,0.0,lipophilicity,R2,0.8243855740422517,-0.8467318774331978,-1.6711174514754494,0.429182005365945
211,ablate,0.0,size,R2,0.9805196350182971,0.9541635635920953,-0.026356071426201777,0.429182005365945
211,ablate,0.0,polarity,R2,0.9674208407166979,0.9672791434869088,-0.00014169722978907284,0.429182005365945
211,ablate,0.0,flexibility,R2,0.566849969287009,0.32441061280525607,-0.24243935648175297,0.429182005365945
211,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.9543165142600856,-0.02619543720920192,0.429182005365945
211,ablate,0.0,halogen,AUROC,0.9997442559566605,0.9997541858738361,9.929917175632852e-06,0.429182005365945
211,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9999954509579145,-2.8431513032778355e-07,0.429182005365945
211,ablate,0.0,urea,AUROC,0.8499297615658112,0.8424658984754612,-0.007463863090350076,0.429182005365945
211,ablate,0.0,boron,AUROC,1.0,0.9998576877099107,-0.00014231229008931923,0.429182005365945
